"","x"
"1","http://krebsonsecurity.com/2014/12/banks-card-breach-at-some-chick-fil-as/"
"2","http://www.bloomberg.com/news/2015-01-19/u-s-spies-tapped-north-korean-computers-prior-to-sony-attack.html"
"3","http://www.huffingtonpost.com/2015/01/07/fbi-sony-hack-north-korea_n_6431340.html"
"4","http://www.theguardian.com/film/2014/dec/12/the-interview-sony-data-hack"
"5","http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html"
"6","http://edition.cnn.com/2014/09/01/showbiz/jennifer-lawrence-photos/"
"7","http://dealbook.nytimes.com/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?_r=0"
"8","http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack"
"9","http://www.usatoday.com/story/money/business/2014/11/06/home-depot-hackers-stolen-data/18613167/"
"10","http://krebsonsecurity.com/2014/05/the-target-breach-by-the-numbers/"
"11","https://www.google.com/url?sa=t&source=web&rct=j&ei=nlm-VN-WDIGwggT6sYSwCQ&url=http://en.m.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack&ved=0CCYQFjAD&usg=AFQjCNE6DM7hh8_4uZGvIDL96YL0aMZLhw&sig2=bhdoZUHylN-nIdF-3MFQ1A"
"12","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&uact=8&ved=0CCYQFjAD&url=http%3A%2F%2Fwww.latimes.com%2Fbusiness%2Fla-fi-sony-cybersecurity-20141227-story.html&ei=rlm-VLv3D8OdNtKlgdAC&usg=AFQjCNEwtNv_hiL8nDhf3qpIgAZkXU2HKQ&sig2=i9k9xyBv8xaNTx9wt7d4Dw&bvm=bv.83829542,d.eXY"
"13",""
"14","http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/"
"15","http://www.cnn.com/2014/12/27/world/asia/north-korea-the-interview-reaction/index.html"
"16","http://www.cnbc.com/id/102344021"
"17",""
"18","http://krebsonsecurity.com/tag/home-depot-breach/"
"19","http://www.forbes.com/sites/greatspeculations/2014/09/24/home-depot-could-the-impact-of-the-data-breach-be-significant/"
"20","http://www.independent.co.uk/news/world/americas/sony-pictures-hack-us-had-hacked-north-korea-first-leaked-documents-show-9988969.html"
"21","http://www.cbsnews.com/news/why-the-u-s-government-was-sure-north-korea-hacked-sony/"
"22","http://www.nbcnews.com/storyline/sony-hack/sony-hack-n-korean-intel-gleaned-nsa-during-incursion-n288761"
"23","http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack"
"24","Sony"
"25","http://fortune.com/2014/10/03/5-huge-cybersecurity-breaches-at-big-companies/"
"26","http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html"
"27","http://deadline.com/2014/12/sony-hack-timeline-any-pascal-the-interview-north-korea-1201325501/"
"28","http://dealbook.nytimes.com/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?_r=0"
"29","http://www.theverge.com/2014/12/8/7352581/sony-pictures-hacked-storystream"
"30","http://threatpost.com/anthem-data-breach-could-affect-millions-of-consumers/110867"
"31","http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html"
"32","http://krebsonsecurity.com/2014/05/the-target-breach-by-the-numbers/"
"33","http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/"
"34","http://www.reuters.com/article/2015/02/05/us-anthem-cybersecurity-idUSKBN0L907J20150205"
"35","http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/"
"36",""
"37","http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/"
"38","http://www.thestreet.com/story/12976491/1/sony-breach-has-cybersecurity-industry-scrambling-for-answers.html"
"39","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=0CCoQFjAC&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FSony_Pictures_Entertainment_hack&ei=nG3TVLuxK4qWgwTNuoPYDQ&usg=AFQjCNG-6kXeR5jirD_JQlVhY02h-uOtdQ&sig2=oMX95GlE5ZUN6qj_e3DEqg&bvm=bv.85142067,d.eXY"
"40","https://corporate.homedepot.com/MediaCenter/Documents/Press%20Release.pdf"
"41",""
"42","http://www.wsj.com/articles/health-insurer-anthem-hit-by-hackers-1423103720"
"43","http://www.reuters.com/article/2015/02/05/us-anthem-cybersecurity-idUSKBN0L907J20150205"
"44","http://www.reuters.com/article/2013/06/12/us-usa-security-hongkong-idUSBRE95B07B20130612"
"45","http://finance.yahoo.com/news/biggest-u-health-insurer-breached-050751561.html;_ylt=A0LEVjbIbdNUfxcA8v0nnIlQ"
"46","http://techcrunch.com/2014/12/16/hack-sony-twice-shame-on-sony/"
"47","http://www.usatoday.com/story/news/nation/2015/01/12/twitter-centcom-isis/21640577/"
"48","http://www.bbc.com/news/technology-29237469"
"49","http://www.cnet.com/news/sony-pictures-hack-to-cost-the-company-only-15-million/"
"50","http://www.theverge.com/2014/12/8/7352581/sony-pictures-hacked-storystream"
"51","http://www.washingtonpost.com/business/economy/target-says-70-million-customers-were-hit-by-dec-data-breach-more-than-first-reported/2014/01/10/0ada1026-79fe-11e3-8963-b4b654bcc9b2_story.html"
"52","http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack"
"53",""
"54","No link, just all the news with the Sony hacking scandal around Christmas."
"55","http://krebsonsecurity.com/2014/12/sony-breach-may-have-exposed-employee-healthcare-salary-data/"
"56","http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/"
"57","http://www.pbs.org/newshour/bb/hollywood-studios-check-security-hackers-leak-sonys-salaries-embarrassing-emails/"
"58","https://corporate.target.com/about/shopping-experience/payment-card-issue-FAQ"
"59","http://www.engadget.com/2014/12/10/sony-pictures-hack-the-whole-story/"
"60","http://krebsonsecurity.com/2014/05/the-target-breach-by-the-numbers/"
"61","http://www.cnet.com/news/sony-pictures-hack-to-cost-the-company-only-15-million/"
"62","http://www.cnet.com/news/sony-pictures-hack-to-cost-the-company-only-15-million/"
"63","http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack"
"64","http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/"
"65","http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/"
"66","https://news.yahoo.com/health-insurer-anthem-hit-hackers-wsj-031415011--sector.html"
"67","http://www.forbes.com/sites/josephsteinberg/2014/12/11/massive-security-breach-at-sony-heres-what-you-need-to-know/"
"68","https://news.yahoo.com/health-insurer-anthem-hit-hackers-wsj-031415011--sector.html"
"69","http://fortune.com/2014/10/03/5-huge-cybersecurity-breaches-at-big-companies/"
"70","http://en.wikipedia.org/wiki/Sony_Pictures_Entertainment_hack"
